Matricula,UF,Admissão,Sindicato do Colaborador,Competência,Dias,VALOR DIÁRIO VR,TOTAL,Custo empresa,Desconto profissional,OBS GERAL
33146,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
32868,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
35214,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
35279,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
32080,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
25931,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
29254,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
32356,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
35606,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
32848,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
26809,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
34994,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
33929,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
26892,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
32244,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
35738,RS,07/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
32920,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
26949,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
